[Connect DataFile][1.1]
Date:,3/13/2026
Time:,13:33:03.861
Unit:,°C
Resolution:,0.05
Values:,1
Time,Area 1,
00:00:00.000,25.6,
00:00:00.050,26.0,
00:00:00.100,26.0,
00:00:00.150,25.9,
00:00:00.200,25.9,
00:00:00.250,25.2,
00:00:00.300,25.0,
00:00:00.350,25.0,
00:00:00.400,25.0,
00:00:00.450,24.6,
00:00:00.500,24.4,
00:00:00.550,24.1,
00:00:00.600,24.4,
00:00:00.650,24.3,
00:00:00.700,24.1,
00:00:00.750,24.0,
00:00:00.800,24.2,
00:00:00.850,24.3,
00:00:00.900,23.7,
00:00:00.950,23.7,
00:00:01.000,23.1,
00:00:01.050,24.9,
00:00:01.100,23.7,
00:00:01.150,23.6,
00:00:01.200,23.6,
00:00:01.250,23.6,
00:00:01.300,23.7,
00:00:01.350,23.7,
00:00:01.400,22.6,
00:00:01.450,22.6,
00:00:01.500,22.4,
00:00:01.550,22.2,
00:00:01.600,22.2,
00:00:01.650,22.0,
00:00:01.700,21.8,
00:00:01.750,22.2,
00:00:01.800,21.8,
00:00:01.850,21.4,
00:00:01.900,21.1,
00:00:01.950,21.5,
00:00:02.000,21.1,
00:00:02.050,21.1,
00:00:02.100,20.8,
00:00:02.150,20.8,
00:00:02.200,20.8,
00:00:02.250,20.5,
00:00:02.300,20.3,
00:00:02.350,20.0,
00:00:02.400,20.3,
00:00:02.450,20.2,
00:00:02.500,20.1,
00:00:02.550,20.5,
00:00:02.600,20.0,
00:00:02.650,20.1,
00:00:02.700,20.0,
00:00:02.750,20.0,
00:00:02.800,20.0,
00:00:02.850,20.1,
00:00:02.900,20.0,
00:00:02.950,20.0,
00:00:03.000,20.0,
00:00:03.050,20.0,
00:00:03.100,20.0,
00:00:03.150,20.0,
00:00:03.200,20.0,
00:00:03.250,20.0,
00:00:03.300,20.0,
00:00:03.350,20.0,
00:00:03.400,20.0,
00:00:03.450,70.3,
00:00:03.500,442.3,
00:00:03.550,285.7,
00:00:03.600,386.4,
00:00:03.650,487.1,
00:00:03.700,394.6,
00:00:03.750,259.8,
00:00:03.800,185.5,
00:00:03.850,145.4,
00:00:03.900,121.1,
00:00:03.950,105.1,
00:00:04.000,93.1,
00:00:04.050,93.1,
00:00:04.100,77.9,
00:00:04.150,73.3,
00:00:04.200,68.5,
00:00:04.250,64.7,
00:00:04.300,64.7,
00:00:04.350,59.3,
00:00:04.400,57.7,
00:00:04.450,55.7,
00:00:04.500,54.6,
00:00:04.550,54.6,
00:00:04.600,51.8,
00:00:04.650,51.0,
00:00:04.700,50.1,
00:00:04.750,47.7,
00:00:04.800,47.5,
00:00:04.850,46.9,
00:00:04.900,47.1,
00:00:04.950,44.8,
00:00:05.000,43.5,
00:00:05.050,42.6,
00:00:05.100,44.9,
00:00:05.150,41.9,
00:00:05.200,41.4,
00:00:05.250,40.8,
00:00:05.300,40.5,
00:00:05.350,39.8,
00:00:05.400,39.6,
00:00:05.450,39.3,
00:00:05.500,38.1,
00:00:05.550,38.1,
00:00:05.600,38.2,
00:00:05.650,36.0,
00:00:05.700,37.2,
00:00:05.750,36.7,
00:00:05.800,35.5,
00:00:05.850,34.8,
00:00:05.900,35.8,
00:00:05.950,34.5,
00:00:06.000,34.0,
00:00:06.050,33.3,
00:00:06.100,33.0,
00:00:06.150,32.5,
00:00:06.200,31.5,
00:00:06.250,32.1,
00:00:06.300,32.2,
00:00:06.350,32.2,
---------------------------------
End of File
